state,district,region,biometric_total,demographic_total,enrolment_total,child_enrolment,adult_enrolment,total_activity,bio_coverage_pct,child_share_pct
West Bengal,Barddhaman,WEST BENGAL - BARDDHAMAN,146857.0,118049.0,14478.0,14466.0,12.0,279384.0,1014.35,99.92
Bihar,Purnia,BIHAR - PURNIA,177708.0,83931.0,17640.0,17471.0,169.0,279279.0,1007.41,99.04
Kerala,Malappuram,KERALA - MALAPPURAM,181755.0,83109.0,13035.0,12813.0,222.0,277899.0,1394.36,98.3
Tamil Nadu,Tiruvallur,TAMIL NADU - TIRUVALLUR,178405.0,89144.0,10042.0,10003.0,39.0,277591.0,1776.59,99.61
Bihar,Samastipur,BIHAR - SAMASTIPUR,147403.0,111785.0,16942.0,16831.0,111.0,276130.0,870.04,99.34
Uttar Pradesh,Saharanpur,UTTAR PRADESH - SAHARANPUR,147833.0,109279.0,17518.0,17437.0,81.0,274630.0,843.89,99.54
Maharashtra,Buldhana,MAHARASHTRA - BULDHANA,181341.0,85588.0,6365.0,6226.0,139.0,273294.0,2849.03,97.82
Tamil Nadu,Kancheepuram,TAMIL NADU - KANCHEEPURAM,179999.0,81327.0,11482.0,11417.0,65.0,272808.0,1567.66,99.43
Bihar,Sitamarhi,BIHAR - SITAMARHI,134147.0,97423.0,39250.0,36911.0,2339.0,270820.0,341.78,94.04
Maharashtra,Mumbai Suburban,MAHARASHTRA - MUMBAI SUBURBAN,136702.0,116569.0,16978.0,16229.0,749.0,270249.0,805.17,95.59
Tamil Nadu,Chennai,TAMIL NADU - CHENNAI,175916.0,85317.0,8909.0,8735.0,174.0,270142.0,1974.59,98.05
Uttar Pradesh,Bulandshahr,UTTAR PRADESH - BULANDSHAHR,145582.0,109177.0,15134.0,14960.0,174.0,269893.0,961.95,98.85
Chhattisgarh,Bilaspur,CHHATTISGARH - BILASPUR,155934.0,104369.0,8216.0,8197.0,19.0,268519.0,1897.93,99.77
Uttar Pradesh,Kanpur Nagar,UTTAR PRADESH - KANPUR NAGAR,148265.0,97613.0,22610.0,21993.0,617.0,268488.0,655.75,97.27
Delhi,East Delhi,DELHI - EAST DELHI,102482.0,155552.0,10149.0,9934.0,215.0,268183.0,1009.77,97.88
Bihar,Darbhanga,BIHAR - DARBHANGA,159635.0,91659.0,14241.0,14177.0,64.0,265535.0,1120.95,99.55
Andhra Pradesh,Krishna,ANDHRA PRADESH - KRISHNA,190542.0,66836.0,6149.0,6115.0,34.0,263527.0,3098.75,99.45
Rajasthan,Alwar,RAJASTHAN - ALWAR,177330.0,64732.0,21042.0,20769.0,273.0,263104.0,842.74,98.7
Bihar,Gaya,BIHAR - GAYA,131334.0,105303.0,25224.0,24813.0,411.0,261861.0,520.67,98.37
Uttar Pradesh,Hardoi,UTTAR PRADESH - HARDOI,160298.0,75510.0,23617.0,23341.0,276.0,259425.0,678.74,98.83
West Bengal,Hooghly,WEST BENGAL - HOOGHLY,130842.0,114557.0,13888.0,13561.0,327.0,259287.0,942.12,97.65
Rajasthan,Jodhpur,RAJASTHAN - JODHPUR,175306.0,63165.0,19952.0,19066.0,886.0,258423.0,878.64,95.56
Maharashtra,Chandrapur,MAHARASHTRA - CHANDRAPUR,166346.0,87133.0,4016.0,3934.0,82.0,257495.0,4142.08,97.96
Andhra Pradesh,West Godavari,ANDHRA PRADESH - WEST GODAVARI,177770.0,74218.0,5302.0,5281.0,21.0,257290.0,3352.89,99.6
Uttar Pradesh,Moradabad,UTTAR PRADESH - MORADABAD,125211.0,109142.0,20481.0,20273.0,208.0,254834.0,611.35,98.98
Chhattisgarh,Raipur,CHHATTISGARH - RAIPUR,151673.0,94313.0,6322.0,6305.0,17.0,252308.0,2399.13,99.73
Uttar Pradesh,Kheri,UTTAR PRADESH - KHERI,143041.0,85395.0,22511.0,22113.0,398.0,250947.0,635.43,98.23
Andhra Pradesh,Prakasam,ANDHRA PRADESH - PRAKASAM,177135.0,64413.0,6914.0,6856.0,58.0,248462.0,2561.98,99.16
Uttar Pradesh,Meerut,UTTAR PRADESH - MEERUT,133996.0,91201.0,22442.0,22203.0,239.0,247639.0,597.08,98.94
Tamil Nadu,Coimbatore,TAMIL NADU - COIMBATORE,170701.0,65132.0,8019.0,7983.0,36.0,243852.0,2128.71,99.55
Gujarat,Rajkot,GUJARAT - RAJKOT,135039.0,92432.0,15961.0,15060.0,901.0,243432.0,846.06,94.35
Uttar Pradesh,Azamgarh,UTTAR PRADESH - AZAMGARH,138012.0,86868.0,18550.0,18289.0,261.0,243430.0,744.0,98.59
Uttar Pradesh,Varanasi,UTTAR PRADESH - VARANASI,145619.0,76018.0,21666.0,21235.0,431.0,243303.0,672.11,98.01
Maharashtra,Sangli,MAHARASHTRA - SANGLI,174319.0,60893.0,7002.0,6871.0,131.0,242214.0,2489.56,98.13
West Bengal,Nadia,WEST BENGAL - NADIA,102797.0,122821.0,16360.0,15544.0,816.0,241978.0,628.34,95.01
Maharashtra,Satara,MAHARASHTRA - SATARA,168388.0,67525.0,5407.0,5264.0,143.0,241320.0,3114.26,97.36
Maharashtra,Parbhani,MAHARASHTRA - PARBHANI,148597.0,87202.0,5484.0,5324.0,160.0,241283.0,2709.65,97.08
Uttar Pradesh,Jaunpur,UTTAR PRADESH - JAUNPUR,145496.0,81704.0,13982.0,13820.0,162.0,241182.0,1040.6,98.84
Delhi,North East Delhi,DELHI - NORTH EAST DELHI,117936.0,111274.0,11378.0,11321.0,57.0,240588.0,1036.53,99.5
Punjab,Ludhiana,PUNJAB - LUDHIANA,146197.0,77784.0,16454.0,15688.0,766.0,240435.0,888.52,95.34
Uttar Pradesh,Shahjahanpur,UTTAR PRADESH - SHAHJAHANPUR,116825.0,99983.0,23204.0,22780.0,424.0,240012.0,503.47,98.17
Uttar Pradesh,Bahraich,UTTAR PRADESH - BAHRAICH,133813.0,68419.0,37082.0,34958.0,2124.0,239314.0,360.86,94.27
Tamil Nadu,Salem,TAMIL NADU - SALEM,173600.0,56019.0,8967.0,8784.0,183.0,238586.0,1935.99,97.96
Uttar Pradesh,Gorakhpur,UTTAR PRADESH - GORAKHPUR,141095.0,79016.0,18293.0,17882.0,411.0,238404.0,771.31,97.75
Delhi,South West Delhi,DELHI - SOUTH WEST DELHI,111476.0,116626.0,8520.0,8194.0,326.0,236622.0,1308.4,96.17
Tamil Nadu,Madurai,TAMIL NADU - MADURAI,160350.0,58878.0,8865.0,8828.0,37.0,228093.0,1808.8,99.58
Haryana,Faridabad,HARYANA - FARIDABAD,93240.0,119309.0,15414.0,15111.0,303.0,227963.0,604.9,98.03
Telangana,Mahabubnagar,TELANGANA - MAHABUBNAGAR,157557.0,59966.0,9392.0,9378.0,14.0,226915.0,1677.57,99.85
Chhattisgarh,Rajnandgaon,CHHATTISGARH - RAJNANDGAON,123613.0,99305.0,3734.0,3711.0,23.0,226652.0,3310.47,99.38
Madhya Pradesh,Sagar,MADHYA PRADESH - SAGAR,154450.0,59166.0,12467.0,12086.0,381.0,226083.0,1238.87,96.94
Madhya Pradesh,Bhopal,MADHYA PRADESH - BHOPAL,153233.0,61146.0,11645.0,11500.0,145.0,226024.0,1315.87,98.75
West Bengal,Malda,WEST BENGAL - MALDA,76207.0,135710.0,13968.0,13887.0,81.0,225885.0,545.58,99.42
Andhra Pradesh,Srikakulam,ANDHRA PRADESH - SRIKAKULAM,149296.0,72599.0,3970.0,3962.0,8.0,225865.0,3760.6,99.8
Bihar,Vaishali,BIHAR - VAISHALI,126160.0,83846.0,15823.0,15781.0,42.0,225829.0,797.32,99.73
Bihar,Saran,BIHAR - SARAN,111486.0,91468.0,21312.0,21114.0,198.0,224266.0,523.11,99.07
Uttar Pradesh,Rampur,UTTAR PRADESH - RAMPUR,96720.0,107726.0,19073.0,18782.0,291.0,223519.0,507.1,98.47
Bihar,Araria,BIHAR - ARARIA,115087.0,93782.0,13963.0,13862.0,101.0,222832.0,824.23,99.28
Uttar Pradesh,Muzaffarnagar,UTTAR PRADESH - MUZAFFARNAGAR,134920.0,76883.0,11011.0,10899.0,112.0,222814.0,1225.32,98.98
Rajasthan,Nagaur,RAJASTHAN - NAGAUR,163646.0,42879.0,15498.0,15299.0,199.0,222023.0,1055.92,98.72
Maharashtra,Dhule,MAHARASHTRA - DHULE,163420.0,44955.0,11224.0,10721.0,503.0,219599.0,1455.99,95.52
Madhya Pradesh,Rewa,MADHYA PRADESH - REWA,159659.0,50206.0,9661.0,9636.0,25.0,219526.0,1652.61,99.74
Bihar,Kishanganj,BIHAR - KISHANGANJ,110346.0,100759.0,7660.0,7638.0,22.0,218765.0,1440.55,99.71
Maharashtra,Jalna,MAHARASHTRA - JALNA,159341.0,52857.0,4769.0,4751.0,18.0,216967.0,3341.18,99.62
Rajasthan,Barmer,RAJASTHAN - BARMER,161139.0,42000.0,13606.0,13534.0,72.0,216745.0,1184.32,99.47
Gujarat,Vadodara,GUJARAT - VADODARA,157583.0,47935.0,11167.0,10649.0,518.0,216685.0,1411.15,95.36
Bihar,Bhagalpur,BIHAR - BHAGALPUR,109724.0,86157.0,19666.0,19313.0,353.0,215547.0,557.94,98.21
Maharashtra,Nandurbar,MAHARASHTRA - NANDURBAR,171662.0,31731.0,9597.0,9376.0,221.0,212990.0,1788.7,97.7
Uttar Pradesh,Kushinagar,UTTAR PRADESH - KUSHINAGAR,116238.0,86135.0,9503.0,9479.0,24.0,211876.0,1223.17,99.75
West Bengal,Jalpaiguri,WEST BENGAL - JALPAIGURI,64551.0,137462.0,9703.0,9182.0,521.0,211716.0,665.27,94.63
Chhattisgarh,Janjgir-champa,CHHATTISGARH - JANJGIR-CHAMPA,146030.0,59902.0,4199.0,4198.0,1.0,210131.0,3477.73,99.98
Maharashtra,Palghar,MAHARASHTRA - PALGHAR,125813.0,74621.0,9648.0,9490.0,158.0,210082.0,1304.03,98.36
Tamil Nadu,Tirunelveli,TAMIL NADU - TIRUNELVELI,156844.0,43484.0,8580.0,8578.0,2.0,208908.0,1828.02,99.98
West Bengal,Birbhum,WEST BENGAL - BIRBHUM,88946.0,102808.0,14414.0,14308.0,106.0,206168.0,617.08,99.26
Bihar,Nalanda,BIHAR - NALANDA,88995.0,103867.0,13234.0,13107.0,127.0,206096.0,672.47,99.04
Maharashtra,Osmanabad,MAHARASHTRA - OSMANABAD,123866.0,78586.0,3520.0,3510.0,10.0,205972.0,3518.92,99.72
Madhya Pradesh,Satna,MADHYA PRADESH - SATNA,138656.0,55482.0,11824.0,11720.0,104.0,205962.0,1172.67,99.12
Tamil Nadu,Vellore,TAMIL NADU - VELLORE,143600.0,53388.0,8462.0,8409.0,53.0,205450.0,1697.0,99.37
West Bengal,Bankura,WEST BENGAL - BANKURA,86837.0,106397.0,10414.0,10274.0,140.0,203648.0,833.85,98.66
Rajasthan,Udaipur,RAJASTHAN - UDAIPUR,139508.0,50445.0,13001.0,12817.0,184.0,202954.0,1073.06,98.58
Uttar Pradesh,Pilibhit,UTTAR PRADESH - PILIBHIT,105896.0,83606.0,12875.0,12677.0,198.0,202377.0,822.49,98.46
Madhya Pradesh,Morena,MADHYA PRADESH - MORENA,114350.0,67079.0,20941.0,20299.0,642.0,202370.0,546.06,96.93
Punjab,Amritsar,PUNJAB - AMRITSAR,119090.0,73033.0,8984.0,8787.0,197.0,201107.0,1325.58,97.81
Tamil Nadu,Tiruchirappalli,TAMIL NADU - TIRUCHIRAPPALLI,149266.0,41771.0,8752.0,8750.0,2.0,199789.0,1705.51,99.98
Uttar Pradesh,Bara Banki,UTTAR PRADESH - BARA BANKI,129557.0,62010.0,8058.0,7975.0,83.0,199625.0,1607.81,98.97
Madhya Pradesh,Barwani,MADHYA PRADESH - BARWANI,117975.0,60866.0,20711.0,20101.0,610.0,199552.0,569.62,97.05
Uttar Pradesh,Gautam Buddha Nagar,UTTAR PRADESH - GAUTAM BUDDHA NAGAR,71983.0,110295.0,17036.0,16501.0,535.0,199314.0,422.53,96.86
Chhattisgarh,Durg,CHHATTISGARH - DURG,142266.0,53216.0,3696.0,3651.0,45.0,199178.0,3849.19,98.78
Chhattisgarh,Mahasamund,CHHATTISGARH - MAHASAMUND,80765.0,114305.0,3043.0,3018.0,25.0,198113.0,2654.12,99.18
Uttar Pradesh,Firozabad,UTTAR PRADESH - FIROZABAD,91448.0,94288.0,11362.0,11266.0,96.0,197098.0,804.86,99.16
Uttar Pradesh,Unnao,UTTAR PRADESH - UNNAO,114696.0,64201.0,17787.0,17481.0,306.0,196684.0,644.83,98.28
Karnataka,Bangalore,KARNATAKA - BANGALORE,159955.0,30042.0,6357.0,6355.0,2.0,196354.0,2516.2,99.97
Madhya Pradesh,Jabalpur,MADHYA PRADESH - JABALPUR,125466.0,59562.0,10964.0,10866.0,98.0,195992.0,1144.35,99.11
Uttarakhand,Udham Singh Nagar,UTTARAKHAND - UDHAM SINGH NAGAR,95530.0,94165.0,5386.0,5371.0,15.0,195081.0,1773.67,99.72
West Bengal,Puruliya,WEST BENGAL - PURULIYA,75062.0,106934.0,11966.0,11837.0,129.0,193962.0,627.29,98.92
Maharashtra,Akola,MAHARASHTRA - AKOLA,146971.0,42687.0,4184.0,4136.0,48.0,193842.0,3512.69,98.85
Jharkhand,Ranchi,JHARKHAND - RANCHI,132155.0,48038.0,13211.0,12878.0,333.0,193404.0,1000.34,97.48
Chhattisgarh,Raigarh,CHHATTISGARH - RAIGARH,145836.0,42413.0,4641.0,4605.0,36.0,192890.0,3142.34,99.22
Chhattisgarh,Baloda Bazar,CHHATTISGARH - BALODA BAZAR,112767.0,75519.0,4496.0,4463.0,33.0,192782.0,2508.16,99.27
Andhra Pradesh,Cuddapah,ANDHRA PRADESH - CUDDAPAH,139420.0,47498.0,5409.0,5408.0,1.0,192327.0,2577.56,99.98
Uttar Pradesh,Ghazipur,UTTAR PRADESH - GHAZIPUR,116938.0,64829.0,10005.0,9948.0,57.0,191772.0,1168.8,99.43
Madhya Pradesh,Dhar,MADHYA PRADESH - DHAR,120465.0,59326.0,11414.0,11004.0,410.0,191205.0,1055.41,96.41
Bihar,Begusarai,BIHAR - BEGUSARAI,107092.0,72209.0,11690.0,11635.0,55.0,190991.0,916.1,99.53
Odisha,Ganjam,ODISHA - GANJAM,140783.0,42977.0,6852.0,6843.0,9.0,190612.0,2054.63,99.87
Rajasthan,Ajmer,RAJASTHAN - AJMER,113968.0,65626.0,10913.0,10768.0,145.0,190507.0,1044.33,98.67
Uttar Pradesh,Gonda,UTTAR PRADESH - GONDA,116836.0,59351.0,13872.0,13564.0,308.0,190059.0,842.24,97.78
Maharashtra,Raigarh,MAHARASHTRA - RAIGARH,125538.0,58920.0,4524.0,4524.0,0.0,188982.0,2774.93,100.0
Uttar Pradesh,Budaun,UTTAR PRADESH - BUDAUN,86167.0,84908.0,14357.0,14050.0,307.0,185432.0,600.17,97.86
Madhya Pradesh,Chhatarpur,MADHYA PRADESH - CHHATARPUR,125311.0,43643.0,16164.0,15807.0,357.0,185118.0,775.25,97.79
Madhya Pradesh,Chhindwara,MADHYA PRADESH - CHHINDWARA,109832.0,66450.0,7969.0,7924.0,45.0,184251.0,1378.24,99.44
Madhya Pradesh,Ujjain,MADHYA PRADESH - UJJAIN,121584.0,48494.0,12839.0,12747.0,92.0,182917.0,946.99,99.28
Madhya Pradesh,Shivpuri,MADHYA PRADESH - SHIVPURI,139325.0,32221.0,11354.0,10623.0,731.0,182900.0,1227.1,93.56
West Bengal,Purba Medinipur,WEST BENGAL - PURBA MEDINIPUR,107390.0,60464.0,13027.0,12969.0,58.0,180881.0,824.36,99.55
Uttar Pradesh,Deoria,UTTAR PRADESH - DEORIA,111253.0,59838.0,9225.0,9115.0,110.0,180316.0,1205.99,98.81
Rajasthan,Bharatpur,RAJASTHAN - BHARATPUR,114916.0,48750.0,15255.0,15096.0,159.0,178921.0,753.3,98.96
Rajasthan,Sikar,RAJASTHAN - SIKAR,127561.0,40691.0,10090.0,9933.0,157.0,178342.0,1264.23,98.44
Andhra Pradesh,Nellore,ANDHRA PRADESH - NELLORE,136868.0,36099.0,4863.0,4861.0,2.0,177830.0,2814.48,99.96
Uttar Pradesh,Ballia,UTTAR PRADESH - BALLIA,109512.0,59319.0,8796.0,8763.0,33.0,177627.0,1245.02,99.62
Bihar,Siwan,BIHAR - SIWAN,95313.0,68267.0,13854.0,13722.0,132.0,177434.0,687.98,99.05
Kerala,Kozhikode,KERALA - KOZHIKODE,123264.0,48032.0,5998.0,5808.0,190.0,177294.0,2055.09,96.83
Tamil Nadu,Dindigul,TAMIL NADU - DINDIGUL,139052.0,30701.0,5426.0,5415.0,11.0,175179.0,2562.7,99.8
Tamil Nadu,Cuddalore,TAMIL NADU - CUDDALORE,125107.0,42538.0,7526.0,7485.0,41.0,175171.0,1662.33,99.46
Maharashtra,Hingoli,MAHARASHTRA - HINGOLI,95407.0,71932.0,7741.0,7382.0,359.0,175080.0,1232.49,95.36
Tamil Nadu,Tiruppur,TAMIL NADU - TIRUPPUR,116175.0,53391.0,5375.0,5370.0,5.0,174941.0,2161.4,99.91
Gujarat,Banaskantha,GUJARAT - BANASKANTHA,114679.0,44187.0,15532.0,13907.0,1625.0,174398.0,738.34,89.54
Madhya Pradesh,Khargone,MADHYA PRADESH - KHARGONE,138184.0,22186.0,13898.0,13414.0,484.0,174268.0,994.27,96.52
Andhra Pradesh,Vizianagaram,ANDHRA PRADESH - VIZIANAGARAM,128010.0,42316.0,3502.0,3499.0,3.0,173828.0,3655.34,99.91
Bihar,Bhojpur,BIHAR - BHOJPUR,71514.0,87098.0,11694.0,11603.0,91.0,170306.0,611.54,99.22
Tamil Nadu,Thanjavur,TAMIL NADU - THANJAVUR,122738.0,41231.0,6324.0,6309.0,15.0,170293.0,1940.83,99.76
Madhya Pradesh,Gwalior,MADHYA PRADESH - GWALIOR,101100.0,51836.0,17019.0,16279.0,740.0,169955.0,594.04,95.65
Jharkhand,Dhanbad,JHARKHAND - DHANBAD,118182.0,39684.0,10061.0,9975.0,86.0,167927.0,1174.65,99.15
Uttar Pradesh,Pratapgarh,UTTAR PRADESH - PRATAPGARH,105515.0,52589.0,9229.0,9175.0,54.0,167333.0,1143.3,99.41
Telangana,Nalgonda,TELANGANA - NALGONDA,113372.0,47325.0,6101.0,6100.0,1.0,166798.0,1858.25,99.98
Odisha,Mayurbhanj,ODISHA - MAYURBHANJ,122197.0,36668.0,7260.0,7226.0,34.0,166125.0,1683.15,99.53
Madhya Pradesh,Ratlam,MADHYA PRADESH - RATLAM,103524.0,55455.0,6961.0,6892.0,69.0,165940.0,1487.2,99.01
Assam,Nagaon,ASSAM - NAGAON,94075.0,59503.0,12038.0,11669.0,369.0,165616.0,781.48,96.93
Madhya Pradesh,Betul,MADHYA PRADESH - BETUL,128033.0,29549.0,7276.0,7150.0,126.0,164858.0,1759.66,98.27
Rajasthan,Pali,RAJASTHAN - PALI,125761.0,30868.0,8030.0,7923.0,107.0,164659.0,1566.14,98.67
Uttar Pradesh,Rae Bareli,UTTAR PRADESH - RAE BARELI,100388.0,55534.0,8543.0,8511.0,32.0,164465.0,1175.09,99.63
Kerala,Thiruvananthapuram,KERALA - THIRUVANANTHAPURAM,120218.0,38018.0,5978.0,5555.0,423.0,164214.0,2011.01,92.92
Punjab,Patiala,PUNJAB - PATIALA,93504.0,65912.0,4728.0,4646.0,82.0,164144.0,1977.66,98.27
Kerala,Palakkad,KERALA - PALAKKAD,127948.0,29850.0,5994.0,5833.0,161.0,163792.0,2134.6,97.31
Bihar,Rohtas,BIHAR - ROHTAS,84319.0,71770.0,7010.0,6938.0,72.0,163099.0,1202.84,98.97
Kerala,Ernakulam,KERALA - ERNAKULAM,118402.0,38356.0,5722.0,5394.0,328.0,162480.0,2069.24,94.27
Kerala,Thrissur,KERALA - THRISSUR,119213.0,36561.0,6475.0,5997.0,478.0,162249.0,1841.13,92.62
Madhya Pradesh,Tikamgarh,MADHYA PRADESH - TIKAMGARH,128190.0,27654.0,6359.0,6337.0,22.0,162203.0,2015.88,99.65
Uttarakhand,Dehradun,UTTARAKHAND - DEHRADUN,99501.0,53952.0,8613.0,8492.0,121.0,162066.0,1155.24,98.6
Madhya Pradesh,Rajgarh,MADHYA PRADESH - RAJGARH,130992.0,23211.0,6968.0,6943.0,25.0,161171.0,1879.91,99.64
Rajasthan,Bikaner,RAJASTHAN - BIKANER,102174.0,45738.0,11796.0,11610.0,186.0,159708.0,866.17,98.42
West Bengal,Howrah,WEST BENGAL - HOWRAH,81479.0,67088.0,10484.0,10342.0,142.0,159051.0,777.17,98.65
Telangana,Karimnagar,TELANGANA - KARIMNAGAR,109278.0,43962.0,5361.0,5355.0,6.0,158601.0,2038.39,99.89
Tamil Nadu,Erode,TAMIL NADU - ERODE,114382.0,38678.0,5199.0,5193.0,6.0,158259.0,2200.08,99.88
Uttar Pradesh,Fatehpur,UTTAR PRADESH - FATEHPUR,92841.0,53997.0,11390.0,11173.0,217.0,158228.0,815.11,98.09
