pincode,enrolment_count,state,district,biometric_update_count,biometric_rate
733210,5722.0,West Bengal,Dinajpur Uttar,11585.0,202.46417336595596
221001,5716.0,Uttar Pradesh,Varanasi,20918.0,365.9552134359692
423203,5669.0,Maharashtra,Nashik,51248.0,904.0042335508907
261201,5594.0,Uttar Pradesh,Sitapur,18040.0,322.48838040757954
243201,5566.0,Uttar Pradesh,Bareilly,16757.0,301.06000718648943
143001,5476.0,Punjab,Amritsar,34113.0,622.954711468225
271865,5389.0,Uttar Pradesh,Bahraich,16883.0,313.28632399331974
816107,5302.0,Jharkhand,Pakur,11547.0,217.78574122972464
385535,5260.0,Gujarat,Banaskantha,15902.0,302.319391634981
262001,5249.0,Uttar Pradesh,Pilibhit,31469.0,599.5237188035817
400612,5243.0,Maharashtra,Thane,29230.0,557.5052450886897
245101,5207.0,Uttar Pradesh,Hapur,28801.0,553.1207989245247
793121,5174.0,Meghalaya,East Khasi Hills,1225.0,23.676072671047546
845401,5111.0,Bihar,East Champaran,12929.0,252.9641948738016
793120,5069.0,Meghalaya,West Khasi Hills,1483.0,29.256263562832906
451551,5026.0,Madhya Pradesh,Barwani,31945.0,635.5949064862714
250001,4955.0,Uttar Pradesh,Meerut,19270.0,388.90010090817356
334001,4908.0,Rajasthan,Bikaner,23020.0,469.03015484922577
452001,4805.0,Madhya Pradesh,Indore,20576.0,428.2206035379812
845455,4793.0,Bihar,West Champaran,10248.0,213.8118088879616
243001,4745.0,Uttar Pradesh,Bareilly,12923.0,272.34984193888306
248001,4733.0,Uttarakhand,Dehradun,30371.0,641.6860342277625
341001,4681.0,Rajasthan,Nagaur,22077.0,471.629993591113
271801,4661.0,Uttar Pradesh,Bahraich,18410.0,394.9796181077022
262122,4655.0,Uttar Pradesh,Pilibhit,26990.0,579.8066595059076
110092,4594.0,Delhi,East Delhi,24073.0,524.0095777100566
243601,4576.0,Uttar Pradesh,Budaun,17366.0,379.50174825174827
389151,4535.0,Gujarat,Dahod,19466.0,429.23925027563394
122508,4526.0,Haryana,Mewat,17507.0,386.80954485196645
226003,4444.0,Uttar Pradesh,Lucknow,16870.0,379.6129612961296
132103,4425.0,Haryana,Panipat,38090.0,860.7909604519774
122001,4423.0,Haryana,Gurgaon,17308.0,391.3181098801718
743329,4323.0,West Bengal,24 Paraganas North,14672.0,339.3939393939394
794104,4308.0,Meghalaya,West Garo Hills,15835.0,367.5719591457753
845449,4261.0,Bihar,West Champaran,7595.0,178.2445435343816
500008,4133.0,Telangana,Hyderabad,15204.0,367.86837648197434
394210,4109.0,Gujarat,Surat,26400.0,642.4920905329765
201001,4108.0,Uttar Pradesh,Ghaziabad,27411.0,667.2590068159689
243503,3993.0,Uttar Pradesh,Bareilly,18179.0,455.2717255196594
793015,3938.0,Meghalaya,East Khasi Hills,1763.0,44.76891823260538
845454,3937.0,Bihar,West Champaran,9030.0,229.36245872491745
473551,3923.0,Madhya Pradesh,Shivpuri,23449.0,597.7313280652562
795128,3911.0,Manipur,Churachandpur,9556.0,244.33648683201227
261205,3880.0,Uttar Pradesh,Sitapur,12297.0,316.9329896907216
843331,3875.0,Bihar,Sitamarhi,10735.0,277.03225806451616
272153,3869.0,Uttar Pradesh,Siddharthnagar,14094.0,364.28017575600927
307026,3811.0,Rajasthan,Sirohi,15436.0,405.0380477564944
242221,3804.0,Uttar Pradesh,Shahjahanpur,11232.0,295.26813880126184
474001,3799.0,Madhya Pradesh,Gwalior,20847.0,548.7496709660437
273164,3759.0,Uttar Pradesh,Maharajganj,8037.0,213.80686352753392
845303,3724.0,Bihar,East Champaran,6036.0,162.08378088077336
845433,3703.0,Bihar,East Champaran,6679.0,180.36726978125844
794002,3701.0,Meghalaya,West Garo Hills,1309.0,35.36881923804377
395010,3698.0,Gujarat,Surat,24745.0,669.14548404543
271831,3698.0,Uttar Pradesh,Shrawasti,10624.0,287.2904272579773
494444,3659.0,Chhattisgarh,Bijapur,9712.0,265.4277124897513
401107,3657.0,Maharashtra,Thane,17918.0,489.9644517363959
476337,3655.0,Madhya Pradesh,Sheopur,16252.0,444.6511627906977
212601,3642.0,Uttar Pradesh,Fatehpur,14017.0,384.87095002745747
431122,3628.0,Maharashtra,Beed,35241.0,971.361631753032
845302,3626.0,Bihar,East Champaran,6680.0,184.2250413678985
803101,3625.0,Bihar,Nalanda,12220.0,337.10344827586204
736135,3595.0,West Bengal,Cooch Behar,4014.0,111.65507649513214
262804,3593.0,Uttar Pradesh,Kheri,16966.0,472.1959365432786
475110,3585.0,Madhya Pradesh,Gwalior,16381.0,456.93165969316595
476221,3576.0,Madhya Pradesh,Morena,14037.0,392.53355704697987
271604,3576.0,Uttar Pradesh,Balrampur,16239.0,454.11073825503354
733201,3574.0,West Bengal,Uttar Dinajpur,5740.0,160.60436485730273
400043,3558.0,Maharashtra,Mumbai Suburban,32497.0,913.3501967397415
363641,3550.0,Gujarat,Morbi,12688.0,357.40845070422534
845452,3518.0,Bihar,West Champaran,7414.0,210.7447413303013
282006,3495.0,Uttar Pradesh,Agra,15486.0,443.0901287553648
742202,3486.0,West Bengal,Murshidabad,6494.0,186.28800917957545
843317,3474.0,Bihar,Sitamarhi,6831.0,196.63212435233163
302012,3468.0,Rajasthan,Jaipur,19920.0,574.3944636678201
793110,3435.0,Meghalaya,East Khasi Hills,1535.0,44.68704512372635
794111,3425.0,Meghalaya,East Garo Hills,1110.0,32.408759124087595
793151,3424.0,Meghalaya,West Jaintia Hills,1148.0,33.52803738317757
205001,3423.0,Uttar Pradesh,Mainpuri,11607.0,339.0885188431201
385310,3415.0,Gujarat,Banaskantha,9646.0,282.45973645680823
853204,3403.0,Bihar,Bhagalpur,13628.0,400.47017337643257
845305,3396.0,Bihar,East Champaran,6423.0,189.13427561837455
794103,3386.0,Meghalaya,South Garo Hills,1850.0,54.636739515652685
201306,3372.0,Uttar Pradesh,Gautam Buddha Nagar,6351.0,188.34519572953735
389180,3364.0,Gujarat,Dahod,11821.0,351.397146254459
242127,3355.0,Uttar Pradesh,Shahjahanpur,7690.0,229.21013412816694
845307,3321.0,Bihar,West Champaran,6405.0,192.8635953026197
462001,3321.0,Madhya Pradesh,Bhopal,28059.0,844.8961156278231
455001,3287.0,Madhya Pradesh,Dewas,29524.0,898.2050501977486
251001,3286.0,Uttar Pradesh,Muzaffarnagar,20374.0,620.0243457090687
845301,3274.0,Bihar,East Champaran,6523.0,199.23640806353086
794105,3271.0,Meghalaya,West Garo Hills,5793.0,177.10180372974628
560068,3240.0,Karnataka,Bengaluru,12239.0,377.74691358024694
210001,3238.0,Uttar Pradesh,Banda,16629.0,513.5577516985793
783129,3216.0,Assam,Goalpara,6253.0,194.43407960199005
843111,3211.0,Bihar,Muzaffarpur,6712.0,209.03145437558393
395006,3177.0,Gujarat,Surat,17058.0,536.9216241737488
241124,3170.0,Uttar Pradesh,Hardoi,10489.0,330.8832807570978
823001,3129.0,Bihar,Gaya,7981.0,255.06551613934164
793200,3121.0,Meghalaya,East Jaintia Hills,1240.0,39.730855495033644
793102,3119.0,Meghalaya,Ri Bhoi,1599.0,51.266431548573266
782446,3095.0,Assam,Hojai,8657.0,279.7092084006462
811311,3092.0,Bihar,Lakhisarai,14768.0,477.6196636481242
385001,3082.0,Gujarat,Banaskantha,11164.0,362.2323166774822
110018,3072.0,Delhi,West Delhi,16292.0,530.3385416666667
121001,3047.0,Haryana,Faridabad,15384.0,504.89005579258287
847108,3041.0,Bihar,Madhubani,7302.0,240.11838211114767
477001,3027.0,Madhya Pradesh,Bhind,12266.0,405.2196894615131
454446,3016.0,Madhya Pradesh,Dhar,16976.0,562.8647214854111
389170,3016.0,Gujarat,Dahod,11064.0,366.84350132625997
272206,3000.0,Uttar Pradesh,Siddharthnagar,5603.0,186.76666666666665
271902,2992.0,Uttar Pradesh,Bahraich,10391.0,347.2927807486631
451332,2988.0,Madhya Pradesh,Khargone,16855.0,564.0896921017403
815353,2975.0,Jharkhand,Deoghar,16226.0,545.4117647058823
396065,2970.0,Gujarat,Valsad,10445.0,351.6835016835017
331403,2968.0,Rajasthan,Churu,11211.0,377.7291105121294
228001,2960.0,Uttar Pradesh,Sultanpur,9348.0,315.81081081081084
141008,2950.0,Punjab,Ludhiana,14531.0,492.5762711864407
500053,2932.0,Telangana,Hyderabad,15823.0,539.6657571623465
232101,2925.0,Uttar Pradesh,Chandauli,9949.0,340.13675213675214
274304,2918.0,Uttar Pradesh,Kushi Nagar,17444.0,597.8067169294037
845106,2903.0,Bihar,West Champaran,9321.0,321.08163968308645
410206,2898.0,Maharashtra,Raigad,22529.0,777.3982056590752
110045,2878.0,Delhi,South West Delhi,17037.0,591.9735927727588
841438,2846.0,Bihar,Gopalganj,10258.0,360.43569922698526
273303,2841.0,Uttar Pradesh,Maharajganj,11771.0,414.3259415698697
261001,2834.0,Uttar Pradesh,Sitapur,20170.0,711.7148906139731
815312,2828.0,Jharkhand,Giridih,11087.0,392.043847241867
250611,2821.0,Uttar Pradesh,Baghpat,9667.0,342.6799007444169
733134,2799.0,West Bengal,Uttar Dinajpur,6703.0,239.47838513754914
464221,2785.0,Madhya Pradesh,Vidisha,16618.0,596.6965888689407
210121,2785.0,Uttar Pradesh,Banda,9389.0,337.12746858168765
483501,2781.0,Madhya Pradesh,Katni,19896.0,715.4261057173678
457990,2781.0,Madhya Pradesh,Alirajpur,17376.0,624.8112189859762
271830,2778.0,Uttar Pradesh,Bahraich,7245.0,260.79913606911447
141007,2774.0,Punjab,Ludhiana,12798.0,461.35544340302806
812005,2764.0,Bihar,Bhagalpur,7497.0,271.2373371924747
782124,2752.0,Assam,Nagaon,15741.0,571.984011627907
845418,2751.0,Bihar,Purbi Champaran,8125.0,295.34714649218466
852127,2744.0,Bihar,Saharsa,10908.0,397.52186588921285
305001,2743.0,Rajasthan,Ajmer,16449.0,599.6718920889537
781136,2726.0,Assam,Kamrup,4932.0,180.92443140132062
845306,2712.0,Bihar,West Champaran,3658.0,134.882005899705
203131,2706.0,Uttar Pradesh,Bulandshahr,16795.0,620.6577974870659
824232,2702.0,Bihar,Gaya,13808.0,511.02886750555143
854304,2693.0,Bihar,Purnia,18572.0,689.6398069067953
854311,2693.0,Bihar,Araria,17891.0,664.3520237653175
321001,2679.0,Rajasthan,Bharatpur,12109.0,451.9970138111235
343041,2665.0,Rajasthan,Jalor,13349.0,500.90056285178235
793105,2658.0,Meghalaya,Ri Bhoi,856.0,32.20466516177577
457779,2647.0,Madhya Pradesh,Jhabua,12420.0,469.2104268983755
204101,2644.0,Uttar Pradesh,Hathras,17787.0,672.7307110438729
794115,2639.0,Meghalaya,South West Garo Hills,1417.0,53.69458128078818
794110,2635.0,Meghalaya,North Garo Hills,1156.0,43.87096774193549
425001,2626.0,Maharashtra,Jalgaon,24023.0,914.8134044173648
244221,2622.0,Uttar Pradesh,Amroha,17315.0,660.3737604881769
110085,2613.0,Delhi,North West Delhi,21558.0,825.0287026406429
794005,2609.0,Meghalaya,South Garo Hills,737.0,28.248371023380603
244921,2607.0,Uttar Pradesh,Rampur,11955.0,458.5730724971231
147001,2593.0,Punjab,Patiala,25481.0,982.684149633629
560045,2578.0,Karnataka,Bengaluru,14710.0,570.5973622963538
243638,2578.0,Uttar Pradesh,Budaun,9246.0,358.6501163692785
261505,2575.0,Uttar Pradesh,Kheri,10921.0,424.11650485436894
421503,2550.0,Maharashtra,Thane,14638.0,574.0392156862745
495551,2549.0,Chhattisgarh,Bilaspur,19168.0,751.9811690859161
560043,2529.0,Karnataka,Bengaluru,8843.0,349.66389877421904
854318,2517.0,Bihar,Araria,17568.0,697.973778307509
841301,2513.0,Bihar,Saran,8934.0,355.51134102666134
206001,2505.0,Uttar Pradesh,Etawah,12450.0,497.0059880239521
805130,2498.0,Bihar,Nalanda,5756.0,230.42433947157724
797112,2463.0,Nagaland,Dimapur,9554.0,387.900933820544
322230,2460.0,Rajasthan,Karauli,9681.0,393.5365853658537
476111,2458.0,Madhya Pradesh,Morena,14084.0,572.9861676159479
781308,2456.0,Assam,Barpeta,8697.0,354.1123778501629
743423,2448.0,West Bengal,North 24 Parganas,5772.0,235.7843137254902
425414,2432.0,Maharashtra,Nandurbar,24537.0,1008.922697368421
824236,2428.0,Bihar,Gaya,4538.0,186.90280065897858
843330,2427.0,Bihar,Sitamarhi,4056.0,167.11990111248457
395004,2423.0,Gujarat,Surat,17927.0,739.8679323153116
425405,2417.0,Maharashtra,Dhule,19895.0,823.1278444352503
845453,2414.0,Bihar,West Champaran,6450.0,267.1913835956918
413517,2414.0,Maharashtra,Latur,20509.0,849.5857497928749
451441,2411.0,Madhya Pradesh,Khargone,17860.0,740.7714641227706
475661,2400.0,Madhya Pradesh,Datia,14071.0,586.2916666666667
243505,2395.0,Uttar Pradesh,Bareilly,10635.0,444.0501043841336
363621,2379.0,Gujarat,Morbi,12015.0,505.0441361916771
203001,2377.0,Uttar Pradesh,Bulandshahr,20379.0,857.3411863693732
400072,2359.0,Maharashtra,Mumbai Suburban,15576.0,660.2797795676133
474006,2358.0,Madhya Pradesh,Gwalior,11796.0,500.25445292620867
843327,2349.0,Bihar,Sitamarhi,7285.0,310.13197105151124
828109,2343.0,Jharkhand,Dhanbad,17809.0,760.093896713615
783348,2334.0,Assam,Dhubri,6138.0,262.9820051413882
473443,2332.0,Madhya Pradesh,Ashok Nagar,14159.0,607.1612349914237
454001,2327.0,Madhya Pradesh,Dhar,18025.0,774.6024924795875
451447,2327.0,Madhya Pradesh,Barwani,14672.0,630.5113880532874
560064,2317.0,Karnataka,Bengaluru,9139.0,394.4324557617609
811213,2314.0,Bihar,Munger,7008.0,302.8522039757995
262802,2309.0,Uttar Pradesh,Kheri,15210.0,658.7267215244694
272192,2305.0,Uttar Pradesh,Siddharthnagar,9428.0,409.02386117136655
485001,2305.0,Madhya Pradesh,Satna,16808.0,729.1973969631237
452016,2297.0,Madhya Pradesh,Indore,14563.0,634.0008707009142
854204,2290.0,Bihar,Purnia,11828.0,516.5065502183406
110034,2244.0,Delhi,North West Delhi,11664.0,519.7860962566846
834001,2239.0,Jharkhand,Ranchi,13487.0,602.3671281822242
431513,2236.0,Maharashtra,Hingoli,20117.0,899.6869409660108
401209,2231.0,Maharashtra,Palghar,18789.0,842.1783953384132
852106,2228.0,Bihar,Saharsa,9541.0,428.23159784560147
241123,2225.0,Uttar Pradesh,Hardoi,8159.0,366.69662921348316
783101,2221.0,Assam,Goalpara,3743.0,168.5276902296263
843109,2212.0,Bihar,Muzaffarpur,6387.0,288.74321880650996
500005,2208.0,Telangana,K.v. Rangareddy,15791.0,715.1721014492754
733129,2202.0,West Bengal,Uttar Dinajpur,4584.0,208.17438692098094
476224,2195.0,Madhya Pradesh,Morena,13801.0,628.7471526195899
141003,2193.0,Punjab,Ludhiana,11681.0,532.6493388052895
182203,2189.0,Jammu And Kashmir,Doda,8399.0,383.69118318867066
273001,2184.0,Uttar Pradesh,Gorakhpur,5998.0,274.6336996336996
841405,2169.0,Bihar,Gopalganj,7966.0,367.2660212079299
389155,2163.0,Gujarat,Dahod,8659.0,400.32362459546925
471405,2162.0,Madhya Pradesh,Chhatarpur,9991.0,462.11840888066604
841403,2156.0,Bihar,Saran,5060.0,234.69387755102042
500028,2152.0,Telangana,Hyderabad,10445.0,485.36245353159853
110091,2150.0,Delhi,East Delhi,20694.0,962.5116279069766
793103,2147.0,Meghalaya,Ri Bhoi,619.0,28.830926874708894
141001,2144.0,Punjab,Ludhiana,12213.0,569.6361940298507
276001,2143.0,Uttar Pradesh,Azamgarh,8779.0,409.65935604293054
823003,2138.0,Bihar,Gaya,8983.0,420.15902712815716
845304,2134.0,Bihar,East Champaran,4800.0,224.92970946579197
476115,2130.0,Madhya Pradesh,Morena,12187.0,572.1596244131456
452010,2126.0,Madhya Pradesh,Indore,16515.0,776.8109125117592
110040,2117.0,Delhi,North West Delhi,13411.0,633.4907888521493
452002,2112.0,Madhya Pradesh,Indore,14406.0,682.1022727272727
241402,2109.0,Uttar Pradesh,Hardoi,6897.0,327.02702702702703
847226,2102.0,Bihar,Madhubani,10808.0,514.1769743101808
385320,2096.0,Gujarat,Banaskantha,5595.0,266.93702290076334
793114,2094.0,Meghalaya,South West Khasi Hills,1319.0,62.98949379178605
782127,2086.0,Assam,Marigaon,5157.0,247.21955896452542
848101,2080.0,Bihar,Samastipur,9351.0,449.5673076923077
821109,2067.0,Bihar,Kaimur (Bhabua),9965.0,482.0996613449443
110032,2058.0,Delhi,Shahdara,20255.0,984.2079689018466
244922,2056.0,Uttar Pradesh,Rampur,9706.0,472.0817120622568
835302,2050.0,Jharkhand,Lohardaga,19765.0,964.1463414634145
560067,2045.0,Karnataka,Bengaluru,4577.0,223.81418092909536
389001,2043.0,Gujarat,Panchmahals,13343.0,653.1081742535487
824201,2031.0,Bihar,Gaya,12888.0,634.5642540620383
843332,2029.0,Bihar,Sitamarhi,4563.0,224.88910793494333
471313,2029.0,Madhya Pradesh,Chhatarpur,9004.0,443.7654016757024
845451,2027.0,Bihar,Pashchim Champaran,5865.0,289.3438579181056
344702,2025.0,Rajasthan,Barmer,14306.0,706.4691358024692
421306,2025.0,Maharashtra,Thane,18269.0,902.1728395061729
382721,2020.0,Gujarat,Gandhinagar,9649.0,477.6732673267326
811307,2011.0,Bihar,Jamui,8732.0,434.21183490800604
843314,2009.0,Bihar,Sitamarhi,8000.0,398.2080637132902
800001,1996.0,Bihar,Patna,5953.0,298.24649298597194
202133,1995.0,Uttar Pradesh,Aligarh,7541.0,377.99498746867164
380001,1994.0,Gujarat,Ahmedabad,17644.0,884.8545636910732
500064,1980.0,Telangana,Hyderabad,10252.0,517.7777777777778
484661,1975.0,Madhya Pradesh,Umaria,11230.0,568.6075949367089
390019,1975.0,Gujarat,Vadodara,11808.0,597.873417721519
824231,1973.0,Bihar,Gaya,5230.0,265.07856056766343
843119,1971.0,Bihar,Muzaffarpur,7848.0,398.17351598173514
841226,1963.0,Bihar,Siwan,10345.0,526.9994905756495
271851,1960.0,Uttar Pradesh,Bahraich,7561.0,385.765306122449
560100,1959.0,Karnataka,Bengaluru,5880.0,300.1531393568147
782480,1953.0,Assam,Karbi Anglong,6668.0,341.42345110087047
781314,1951.0,Assam,Barpeta,6843.0,350.74320861096874
560032,1949.0,Karnataka,Bengaluru,10445.0,535.9158542842483
209861,1947.0,Uttar Pradesh,Unnao,6978.0,358.3975346687211
304001,1946.0,Rajasthan,Tonk,15045.0,773.1243576567317
271881,1943.0,Uttar Pradesh,Bahraich,3518.0,181.06021616057643
842002,1941.0,Bihar,Muzaffarpur,7384.0,380.42246264811956
360002,1940.0,Gujarat,Rajkot,11308.0,582.8865979381443
845437,1937.0,Bihar,Purbi Champaran,8293.0,428.1362932369643
207242,1937.0,Uttar Pradesh,Kasganj,11634.0,600.6195147134745
743502,1935.0,West Bengal,North 24 Parganas,11333.0,585.6847545219639
801503,1935.0,Bihar,Patna,9362.0,483.82428940568474
274001,1934.0,Uttar Pradesh,Deoria,14503.0,749.8965873836609
247776,1929.0,Uttar Pradesh,Shamli,17045.0,883.6184551581131
816108,1927.0,Jharkhand,Sahebganj,10377.0,538.5054488842761
843128,1925.0,Bihar,Muzaffarpur,11023.0,572.6233766233765
455227,1916.0,Madhya Pradesh,Dewas,12433.0,648.9039665970773
788724,1916.0,Assam,Karimganj,2304.0,120.25052192066805
244924,1913.0,Uttar Pradesh,Rampur,14489.0,757.3967590172505
263139,1905.0,Uttarakhand,Nainital,18585.0,975.5905511811025
783370,1901.0,Assam,Kokrajhar,4125.0,216.99105733824302
271208,1894.0,Uttar Pradesh,Balrampur,6796.0,358.81731784582894
222001,1890.0,Uttar Pradesh,Jaunpur,14290.0,756.0846560846561
793160,1886.0,Meghalaya,East Jaintia Hills,1066.0,56.52173913043478
273015,1885.0,Uttar Pradesh,Gorakhpur,6618.0,351.08753315649864
848203,1882.0,Bihar,Begusarai,8174.0,434.3251859723698
342301,1878.0,Rajasthan,Jodhpur,9250.0,492.54526091586797
477116,1870.0,Madhya Pradesh,Bhind,6639.0,355.0267379679144
400070,1867.0,Maharashtra,Mumbai Suburban,17005.0,910.8194965184788
313001,1865.0,Rajasthan,Udaipur,15775.0,845.8445040214476
262701,1865.0,Uttar Pradesh,Kheri,12756.0,683.9678284182305
560077,1856.0,Karnataka,Bengaluru,5695.0,306.8426724137931
363520,1854.0,Gujarat,Surendra Nagar,7729.0,416.88241639697947
811303,1848.0,Bihar,Jamui,5593.0,302.6515151515151
560091,1844.0,Karnataka,Bengaluru,12551.0,680.6399132321042
301411,1843.0,Rajasthan,Alwar,9418.0,511.0146500271297
450001,1839.0,Madhya Pradesh,Khandwa,16185.0,880.0978792822185
144601,1838.0,Punjab,Kapurthala,8169.0,444.4504896626769
201310,1836.0,Uttar Pradesh,Gautam Buddha Nagar,4133.0,225.10893246187362
782410,1834.0,Assam,Marigaon,3069.0,167.3391494002181
322201,1828.0,Rajasthan,Sawai Madhopur,10098.0,552.4070021881838
847421,1827.0,Bihar,Madhubani,4135.0,226.32731253420909
261135,1826.0,Uttar Pradesh,Sitapur,15390.0,842.8258488499453
560078,1823.0,Karnataka,Bengaluru,8775.0,481.3494240263302
283201,1822.0,Uttar Pradesh,Agra,8176.0,448.73765093304064
328021,1817.0,Rajasthan,Dholpur,8548.0,470.44578976334617
782435,1806.0,Assam,Hojai,4872.0,269.7674418604651
781315,1803.0,Assam,Baksa,9325.0,517.1935662784248
225305,1784.0,Uttar Pradesh,Barabanki,10820.0,606.5022421524664
845101,1770.0,Bihar,West Champaran,6978.0,394.2372881355932
466331,1769.0,Madhya Pradesh,Sehore,14463.0,817.5805539853025
360003,1765.0,Gujarat,Rajkot,14668.0,831.0481586402267
733208,1764.0,West Bengal,Uttar Dinajpur,7717.0,437.4716553287982
246701,1762.0,Uttar Pradesh,Bijnor,17765.0,1008.2292849035188
470001,1761.0,Madhya Pradesh,Sagar,13159.0,747.2458830210109
307022,1758.0,Rajasthan,Sirohi,6219.0,353.7542662116041
207243,1753.0,Uttar Pradesh,Kasganj,6662.0,380.0342270393611
811314,1752.0,Bihar,Jamui,6790.0,387.5570776255708
821108,1749.0,Bihar,Kaimur (Bhabua),8856.0,506.3464837049743
843313,1749.0,Bihar,Sitamarhi,4226.0,241.62378502001144
382350,1748.0,Gujarat,Ahmadabad,11244.0,643.2494279176201
488001,1748.0,Madhya Pradesh,Panna,14168.0,810.5263157894736
243701,1745.0,Uttar Pradesh,Rampur,10220.0,585.6733524355301
401208,1742.0,Maharashtra,Palghar,11384.0,653.5017221584385
241204,1740.0,Uttar Pradesh,Hardoi,10419.0,598.7931034482758
841428,1738.0,Bihar,Gopalganj,8303.0,477.73302646720373
221002,1738.0,Uttar Pradesh,Varanasi,8578.0,493.5558112773303
146001,1735.0,Punjab,Hoshiarpur,12204.0,703.400576368876
473335,1733.0,Madhya Pradesh,Ashok Nagar,9766.0,563.531448355453
813213,1730.0,Bihar,Bhagalpur,6577.0,380.1734104046243
203205,1729.0,Uttar Pradesh,Bulandshahr,8585.0,496.5297860034702
801110,1729.0,Bihar,Patna,5802.0,335.56969346443026
261204,1729.0,Uttar Pradesh,Sitapur,9643.0,557.7212261422787
843320,1724.0,Bihar,Sitamarhi,6987.0,405.2784222737819
813101,1723.0,Bihar,Banka,8860.0,514.219384793964
360004,1716.0,Gujarat,Rajkot,9943.0,579.4289044289044
245304,1715.0,Uttar Pradesh,Ghaziabad,11904.0,694.1107871720117
560076,1711.0,Karnataka,Bengaluru,7111.0,415.6049094097019
282007,1710.0,Uttar Pradesh,Agra,11482.0,671.4619883040936
497223,1706.0,Chhattisgarh,Balrampur,10916.0,639.8593200468933
813210,1705.0,Bihar,Bhagalpur,7134.0,418.41642228739005
560016,1704.0,Karnataka,Bengaluru,6548.0,384.2723004694835
450332,1702.0,Madhya Pradesh,Burhanpur,8555.0,502.6439482961222
246725,1699.0,Uttar Pradesh,Bijnor,11568.0,680.8711006474397
384265,1697.0,Gujarat,Patan,9539.0,562.1096051856217
271903,1696.0,Uttar Pradesh,Bahraich,10129.0,597.2287735849056
732125,1694.0,West Bengal,Malda,10406.0,614.2857142857143
475220,1693.0,Madhya Pradesh,Gwalior,7397.0,436.9167158889545
364001,1693.0,Gujarat,Bhavnagar,9430.0,556.9994093325458
251002,1692.0,Uttar Pradesh,Muzaffarnagar,10467.0,618.6170212765958
370001,1688.0,Gujarat,Kachchh,11729.0,694.845971563981
560037,1685.0,Karnataka,Bengaluru,5720.0,339.4658753709199
732201,1674.0,West Bengal,Malda,8253.0,493.01075268817203
276305,1665.0,Uttar Pradesh,Azamgarh,5680.0,341.14114114114113
845450,1663.0,Bihar,Pashchim Champaran,4907.0,295.0691521346963
473222,1659.0,Madhya Pradesh,Guna,10439.0,629.2344786015672
364710,1659.0,Gujarat,Botad,10400.0,626.8836648583484
273162,1659.0,Uttar Pradesh,Maharajganj,7081.0,426.82338758288125
560049,1659.0,Karnataka,Bengaluru,4408.0,265.7022302591923
497225,1656.0,Chhattisgarh,Balrampur,12894.0,778.6231884057971
815352,1651.0,Jharkhand,Jamtara,10388.0,629.1944276196244
794102,1643.0,Meghalaya,South Garo Hills,336.0,20.45039561777237
473101,1640.0,Madhya Pradesh,Guna,15485.0,944.2073170731707
261303,1638.0,Uttar Pradesh,Sitapur,12066.0,736.6300366300366
